,team,off,def,clase_K-means
509,Göteborg,0.8,1.8,1
510,Ibiza,0.7,1.7,1
511,Fleetwood Town,0.8,1.7,3
512,Hansa Rostock,0.8,1.8,1
513,Sacramento,0.8,1.8,1
514,FC Khimki,0.8,1.9,1
515,Oostende,1.0,2.2,1
516,Winterthur,0.8,1.9,1
517,Brescia,0.7,1.7,1
518,Giannina,0.7,1.7,1
519,Horsens,0.9,2.0,1
520,Phoenix Rising,0.9,2.0,1
521,Memphis 901,1.0,2.1,1
522,Lincoln City,0.6,1.6,1
523,Braunschweig,0.9,2.0,1
524,Adelaide United,1.1,2.3,1
525,Albirex Niigata,0.8,1.9,1
526,Eupen,1.0,2.2,1
527,Exeter City,0.8,2.0,1
528,Asteras Tripoli,0.5,1.4,3
529,Sandefjord,0.9,2.1,1
530,Melbourne Vic,0.8,1.9,1
531,Sion,1.0,2.2,1
532,Sirius,0.8,1.9,1
533,C.S. Switchbacks,0.8,1.9,1
534,Torpedo Moscow,0.7,1.9,1
535,Lugo,0.6,1.6,1
536,Cosenza,0.5,1.6,1
537,Shamrock Rovers,0.7,1.8,1
538,Mjällby,0.6,1.6,1
539,Oxford United,0.6,1.8,1
540,Cape Town City,0.6,1.6,1
541,Seraing,0.8,2.0,1
542,Oakland Roots,0.7,2.0,1
543,Brommapojkarna,0.7,1.9,1
544,Stellenbosch,0.6,1.8,1
545,Volos,0.7,1.9,1
546,Burton Albion,0.7,2.0,1
547,Aalesund,0.7,2.0,1
548,El Paso,0.7,2.0,1
549,Niort,0.7,2.0,1
550,Ionikos,0.6,1.8,1
551,Levadiakos,0.6,1.8,1
552,Shrewsbury,0.6,1.9,1
553,SuperSport Utd,0.5,1.6,1
554,SV Sandhausen,0.7,2.0,1
555,Shandong,0.8,2.2,1
556,Salford City,0.8,2.2,1
557,Jiangsu Suning,0.7,2.0,1
558,Cheltenham,0.7,2.0,1
559,GFK,0.7,2.1,1
560,Halmstad,0.6,1.9,1
561,Mansfield Town,0.7,2.1,1
562,MK Dons,0.6,1.9,1
563,Panetolikos,0.6,2.0,1
564,New Mexico,0.7,2.0,1
565,Yokohama FC,0.7,2.0,1
566,Stockport County,0.5,1.7,1
567,HamKam,0.7,2.1,1
568,Värnamo,0.6,1.9,1
569,Pittsburgh,0.5,1.8,1
570,Bristol Rovers,0.6,2.1,1
571,Western United,0.8,2.3,1
572,W. Phoenix,0.8,2.4,1
573,Orange County,0.6,2.0,1
574,TS Galaxy,0.4,1.6,1
575,Kaizer Chiefs,0.5,1.8,1
576,Birmingham,0.7,2.2,1
577,Brisbane Roar,0.6,2.1,1
578,Lamia,0.5,1.9,1
579,Newcastle Jets,0.7,2.3,1
580,Degerfors,0.7,2.3,1
581,Port Vale,0.6,2.2,1
582,AmaZulu,0.4,1.8,1
583,Bradford City,0.5,2.0,1
584,Swindon Town,0.6,2.2,1
585,The Miami FC,0.5,2.1,1
586,Leyton Orient,0.4,1.8,1
587,Carlisle United,0.4,1.9,1
588,Morecambe,0.6,2.3,1
589,Golden Arrows,0.4,2.0,1
590,Newport County,0.5,2.1,1
591,Hatayspor,0.6,2.3,1
592,Royal AM,0.5,2.1,1
593,Perth Glory,0.6,2.3,1
594,Sekhukhune,0.2,1.6,1
595,Cambridge,0.4,2.0,1
596,Stevenage,0.4,1.9,1
597,Northampton,0.3,1.9,1
598,Hartford Athletic,0.6,2.4,1
599,Monterey Bay,0.5,2.2,1
600,Indy Eleven,0.4,2.1,1
601,Tianjin Teda,0.5,2.3,1
602,Macarthur FC,0.6,2.5,1
603,Varbergs BoIS,0.5,2.3,1
604,Charleston,0.4,2.2,1
605,Shenhua,0.6,2.5,1
606,Harrogate Town,0.5,2.4,1
607,Moroka Swallows,0.2,1.8,1
608,FC Tulsa,0.5,2.4,1
609,RGV Toros,0.4,2.2,1
610,Hebei CF,0.5,2.4,1
611,Colchester,0.3,1.9,1
612,Henan Jianye,0.5,2.4,1
613,Las Vegas Lights,0.4,2.3,1
614,Gillingham,0.3,1.9,1
615,Dalian Yifang,0.5,2.5,1
616,Marumo Gallants,0.2,1.9,1
617,Guangzhou R&F,0.7,2.9,1
618,Maritzburg Utd,0.3,2.0,1
619,Stanley,0.4,2.3,1
620,Wuhan Zall,0.4,2.3,1
621,Crewe Alexandra,0.4,2.2,1
622,Detroit City,0.3,2.1,1
623,Richards Bay,0.2,1.9,1
624,Rochdale,0.4,2.4,1
625,Grimsby Town,0.3,2.2,1
626,Chippa United,0.3,2.2,1
627,Tranmere Rovers,0.2,2.0,1
628,Loudoun United,0.4,2.5,1
629,Tianjin Quanjian,0.4,2.5,1
630,Barrow,0.2,2.1,1
631,Shenzhen,0.4,2.6,1
632,Chongqing Lifan,0.3,2.3,1
633,Hartlepool,0.4,2.6,1
634,Walsall,0.2,2.1,1
635,Sutton United,0.2,2.3,1
636,Wimbledon,0.2,2.3,1
637,Doncaster,0.2,2.4,1
638,Forest Green,0.2,2.4,1
639,Crawley Town,0.2,2.4,1
640,Beijing Renhe,0.2,2.6,1
